date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:28:42	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-5d2431a6-5fecfc90ed786b9;gz%22	https://shtheme.com/robots.txt		(from )
14:28:49	139147/139147	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20May%202023%2011:28:43%20GMT	https://shtheme.com/demosd/itodo/	/home/professuer/Documents/tecnology/shtheme.com/demosd/itodo/index.html	(from )
14:28:56	1150/1150	---M-Z	200	added ('OK')	image/x-icon	etag:%2247e-6413eca2-d139e6e8b35a0a1f;gz%22	https://shtheme.com/demosd/itodo/wp-content/uploads/2023/02/favicon.ico	/home/professuer/Documents/tecnology/shtheme.com/demosd/itodo/wp-content/uploads/2023/02/favicon.ico	(from https://shtheme.com/demosd/itodo/)
14:29:01	80933/80933	---MCZ	200	added ('OK')	application/rss+xml	etag:%22084efee7eacd80ca9eb2cf5658b0baf5%22	https://shtheme.com/demosd/itodo/?feed=rss2	/home/professuer/Documents/tecnology/shtheme.com/demosd/itodo/indexd784.html	(from https://shtheme.com/demosd/itodo/)
14:29:05	8145/8145	---M-Z	200	added ('OK')	application/rss+xml	etag:%22084efee7eacd80ca9eb2cf5658b0baf5%22	https://shtheme.com/demosd/itodo/?feed=comments-rss2	/home/professuer/Documents/tecnology/shtheme.com/demosd/itodo/indexa6da.html	(from https://shtheme.com/demosd/itodo/)
14:29:06	97517/97517	---M-Z	200	added ('OK')	text/css	etag:%2217ced-642cdc36-54bfc6339b63dccf;gz%22	https://shtheme.com/demosd/itodo/wp-includes/css/dist/block-library/style.min.css?ver=6.2	/home/professuer/Documents/tecnology/shtheme.com/demosd/itodo/wp-includes/css/dist/block-library/style.minae48.css	(from https://shtheme.com/demosd/itodo/)
14:29:09	291/291	---M--	200	added ('OK')	text/css	etag:%22123-642cdc36-fa5899bc493ea4a0;;;%22	https://shtheme.com/demosd/itodo/wp-includes/css/classic-themes.min.css?ver=6.2	/home/professuer/Documents/tecnology/shtheme.com/demosd/itodo/wp-includes/css/classic-themes.minae48.css	(from https://shtheme.com/demosd/itodo/)
14:29:14	1683/1683	---M-Z	200	added ('OK')	text/css	etag:%22693-6413ec9b-21214da5d202774c;gz%22	https://shtheme.com/demosd/itodo/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.0.2	/home/professuer/Documents/tecnology/shtheme.com/demosd/itodo/wp-content/plugins/contact-form-7/includes/css/stylesce52.css	(from https://shtheme.com/demosd/itodo/)
14:29:21	194855/194855	---M-Z	200	added ('OK')	text/css	etag:%222f927-6413ec9f-fe28664d173dd78f;gz%22	https://shtheme.com/demosd/itodo/wp-content/themes/itodo/css/bootstrap.min.css?ver=6.2	/home/professuer/Documents/tecnology/shtheme.com/demosd/itodo/wp-content/themes/itodo/css/bootstrap.minae48.css	(from https://shtheme.com/demosd/itodo/)
14:29:21	30999/30999	---M-Z	200	added ('OK')	text/css	etag:%227917-6413ec9d-c86a1e315254ea5f;gz%22	https://shtheme.com/demosd/itodo/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min.css?ver=4.7.0	/home/professuer/Documents/tecnology/shtheme.com/demosd/itodo/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min1849.css	(from https://shtheme.com/demosd/itodo/)
